"Net: Hopman Footwork"
"21 random balls varying between passing shots and lobs. Balls get tougher as you go. Try to put each ball away."
730WAV1.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,PASS,B4,2.4,VOLLEY,SAME,,,,
,PASS,R4,2.4,VOLLEY,SAME,,,,
,CUSTOM,F2,2.6,VOLLEY,SAME,158CRUS.WAV,36,45,0
,PASS,R4,2.6,VOLLEY,SAME,,,,
,PASS,INV,2.6,VOLLEY,SAME,,,,
,CUSTOM,F4,2.6,OVERHEAD,SAME,158CRUS.WAV,36,45,0
,PASS,B4,2.6,VOLLEY,HARD,,,,
,PASS,R4,2.6,VOLLEY,SAME,,,,
,CUSTOM,F2,3.2,OVERHEAD,SAME,077ATTA.WAV,36,45,0
,PASS,R4,2.6,VOLLEY,HARD,,,,
,PASS,INV,2.6,VOLLEY,EASY,,,,
,PASS,F4,2.4,VOLLEY,SAME,,,,
,PASS,B2,2.4,VOLLEY,HARD,,,,
,PASS,B4,2.3,VOLLEY,EASY,,,,
,PASS,CENTER,2.3,VOLLEY,HARD,,,,
,PASS,F4,2.3,VOLLEY,SAME,,,,
,PASS,R4,2.3,VOLLEY,SAME,,,,
,PASS,CENTER,2.3,VOLLEY,HARD,,,,
,CUSTOM,B4,3.2,OVERHEAD,SAME,158CRUS.WAV,37,45,300
,PASS,R4,2.6,VOLLEY,SAME,,,,
,PASS,INV,2.0,VOLLEY,SAME,,,,
