"2-line Suicide: level 4.0"
""
539RUMB.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F13,1.1,NOT_SCORED,SAME,234FORE.WAV,48,15.0,4000
,CUSTOM,B2,2.6,NOT_SCORED,SAME,,48,15.0,4000
,CUSTOM,F2,1.2,NOT_SCORED,SAME,092BACK.WAV,46,11.0,-3000
,CUSTOM,B13,1.4,NOT_SCORED,SAME,,46,11.0,-3000
,CUSTOM,F13,1.1,NOT_SCORED,SAME,073APPL.WAV,42,18.0,-2000
,CUSTOM,B2,2.1,NOT_SCORED,SAME,,42,18.0,-2000
,CUSTOM,F13,1.1,NOT_SCORED,SAME,698VSCR.WAV,48,12.5,2000
,CUSTOM,B2,1.3,NOT_SCORED,SAME,,48,12.5,2000
,CUSTOM,F2,1.2,NOT_SCORED,SAME,698VSCR.WAV,40,25.0,2000
,CUSTOM,B13,1.4,NOT_SCORED,SAME,,40,25.0,2000
,CUSTOM,F6,1.1,NOT_SCORED,SAME,158CRUS.WAV,36,40.0,0
,CUSTOM,B6,1.0,NOT_SCORED,SAME,,36,40.0,0
