"Injured Player"
"15 F1 Topspins and 15 B1 Topspins "
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
,TOPSPIN,F1,4.0,GROUND,SAME,,,,
,TOPSPIN,B1,4.0,GROUND,SAME,,,,
